time,velocity 
0,0
0.2,0.03008
0.4,0.049894
0.6,0.0695749
0.8,0.0891191
1,0.108528
1.2,0.127803
1.4,0.146946
1.6,0.165957
1.8,0.184839
2,0.203593
2.2,0.222219
2.4,0.24072
2.6,0.259096
2.8,0.277349
3,0.29548
3.2,0.313491
3.4,0.331383
3.6,0.349156
3.8,0.366813
4,0.384353
4.2,0.40178
4.4,0.419093
4.6,0.436294
4.8,0.453385
5,0.470365
5.2,0.487237
5.4,0.504001
5.6,0.52066
5.8,0.537212
6,0.553661
6.2,0.570006
6.4,0.58625
6.6,0.602392
6.8,0.618435
7,0.634379
7.2,0.650224
7.4,0.665973
7.6,0.681627
7.8,0.697185
8,0.712649
8.2,0.728021
8.4,0.7433
8.6,0.758489
8.8,0.773587
9,0.788596
9.2,0.803517
9.4,0.818351
9.6,0.833099
9.8,0.84776
10,0.862338
10.2,0.876831
10.4,0.891242
10.6,0.90557
10.8,0.919818
11,0.933985
11.2,0.948072
11.4,0.962081
11.6,0.976012
11.8,0.989866
12,1.00364
12.2,1.01734
12.4,1.03097
12.6,1.04453
12.8,1.05801
13,1.07141
13.2,1.08475
13.4,1.09801
13.6,1.11121
13.8,1.12433
14,1.13739
14.2,1.15038
14.4,1.1633
14.6,1.17615
14.8,1.18894
15,1.20166
15.2,1.21432
15.4,1.22691
15.6,1.23944
15.8,1.25191
16,1.26431
16.2,1.27666
16.4,1.28894
16.6,1.30116
16.8,1.31333
17,1.32543
17.2,1.33748
17.4,1.34946
17.6,1.3614
17.8,1.37327
18,1.38509
18.2,1.39685
18.4,1.40856
18.6,1.42021
18.8,1.43181
19,1.44335
19.2,1.45485
19.4,1.46629
19.6,1.47768
19.8,1.48902
20,1.5003
20.2,1.51154
20.4,1.52273
20.6,1.53387
20.8,1.54496
21,1.556
21.2,1.56699
21.4,1.57794
21.6,1.58884
21.8,1.59969
22,1.6105
22.2,1.62126
22.4,1.63198
22.6,1.64266
22.8,1.65329
23,1.66387
23.2,1.67441
23.4,1.68492
23.6,1.69537
23.8,1.70579
24,1.71616
24.2,1.7265
24.4,1.73679
24.6,1.74705
24.8,1.75726
25,1.76743
25.2,1.77757
25.4,1.78767
25.6,1.79772
25.8,1.80774
26,1.81773
26.2,1.82767
26.4,1.83758
26.6,1.84746
26.8,1.85729
27,1.8671
27.2,1.87686
27.4,1.88659
27.6,1.89629
27.8,1.90595
28,1.91558
28.2,1.92518
28.4,1.93474
28.6,1.94427
28.8,1.95376
29,1.96323
29.2,1.97266
29.4,1.98206
29.6,1.99143
29.8,2.00077
30,2.01007
30.2,2.01935
30.4,2.0286
30.6,2.03782
30.8,2.047
31,2.05616
31.2,2.06529
31.4,2.07439
31.6,2.08346
31.8,2.09251
32,2.10152
32.2,2.11051
32.4,2.11948
32.6,2.12841
32.8,2.13732
33,2.1462
33.2,2.15505
33.4,2.16388
33.6,2.17269
33.8,2.18146
34,2.19022
34.2,2.19894
34.4,2.20765
34.6,2.21632
34.8,2.22498
35,2.23361
35.2,2.24221
35.4,2.25079
35.6,2.25935
35.8,2.26789
36,2.2764
36.2,2.28489
36.4,2.29336
36.6,2.3018
36.8,2.31023
37,2.31863
37.2,2.32701
37.4,2.33537
37.6,2.3437
37.8,2.35202
38,2.36031
38.2,2.36859
38.4,2.37684
38.6,2.38507
38.8,2.39329
39,2.40148
39.2,2.40965
39.4,2.41781
39.6,2.42594
39.8,2.43406
40,2.44215
40.2,2.45023
40.4,2.45829
40.6,2.46633
40.8,2.47435
41,2.48236
41.2,2.49034
41.4,2.49831
41.6,2.50626
41.8,2.5142
42,2.52211
42.2,2.53001
42.4,2.53789
42.6,2.54576
42.8,2.55361
43,2.56144
43.2,2.56925
43.4,2.57705
43.6,2.58484
43.8,2.5926
44,2.60035
44.2,2.60809
44.4,2.61581
44.6,2.62352
44.8,2.6312
45,2.63888
45.2,2.64654
45.4,2.65418
45.6,2.66181
45.8,2.66943
46,2.67703
46.2,2.68462
46.4,2.69219
46.6,2.69975
46.8,2.70729
47,2.71482
47.2,2.72234
47.4,2.72984
47.6,2.73733
47.8,2.74481
48,2.75227
48.2,2.75972
48.4,2.76716
48.6,2.77458
48.8,2.78199
49,2.78939
49.2,2.79678
49.4,2.80415
49.6,2.81152
49.8,2.81887
50,2.8262
50.2,2.83353
50.4,2.84084
50.6,2.84814
50.8,2.85543
51,2.86271
51.2,2.86998
51.4,2.87723
51.6,2.88448
51.8,2.89171
52,2.89893
52.2,2.90614
52.4,2.91334
52.6,2.92053
52.8,2.92771
53,2.93488
53.2,2.94203
53.4,2.94918
53.6,2.95632
53.8,2.96344
54,2.97056
54.2,2.97766
54.4,2.98476
54.6,2.99184
54.8,2.99892
55,3.00599
55.2,3.01304
55.4,3.02009
55.6,3.02712
55.8,3.03415
56,3.04117
56.2,3.04818
56.4,3.05518
56.6,3.06217
56.8,3.06915
57,3.07612
57.2,3.08308
57.4,3.09003
57.6,3.09698
57.8,3.10392
58,3.11084
58.2,3.11776
58.4,3.12467
58.6,3.13157
58.8,3.13847
59,3.14535
59.2,3.15223
59.4,3.1591
59.6,3.16596
59.8,3.17281
60,3.17965
60.2,3.18649
60.4,3.19332
60.6,3.20014
60.8,3.20695
61,3.21375
61.2,3.22055
61.4,3.22734
61.6,3.23412
61.8,3.24089
62,3.24766
62.2,3.25442
62.4,3.26117
62.6,3.26792
62.8,3.27465
63,3.28138
63.2,3.28811
63.4,3.29482
63.6,3.30153
63.8,3.30823
64,3.31493
64.2,3.32162
64.4,3.3283
64.6,3.33497
64.8,3.34164
65,3.3483
65.2,3.35495
65.4,3.3616
65.6,3.36824
65.8,3.37488
66,3.3815
66.2,3.38813
66.4,3.39474
66.6,3.40135
66.8,3.40795
67,3.41455
67.2,3.42114
67.4,3.42772
67.6,3.4343
67.8,3.44087
68,3.44744
68.2,3.454
68.4,3.46055
68.6,3.4671
68.8,3.47364
69,3.48018
69.2,3.48671
69.4,3.49323
69.6,3.49975
69.8,3.50626
70,3.51277
70.2,3.51927
70.4,3.52577
70.6,3.53226
70.8,3.53874
71,3.54522
71.2,3.5517
71.4,3.55816
71.6,3.56463
71.8,3.57109
72,3.57754
72.2,3.58399
72.4,3.59043
72.6,3.59686
72.8,3.6033
73,3.60972
73.2,3.61614
73.4,3.62256
73.6,3.62897
73.8,3.63538
74,3.64178
74.2,3.64817
74.4,3.65457
74.6,3.66095
74.8,3.66733
75,3.67371
75.2,3.68008
75.4,3.68645
75.6,3.69281
75.8,3.69917
76,3.70552
76.2,3.71187
76.4,3.71821
76.6,3.72455
76.8,3.73088
77,3.73721
77.2,3.74354
77.4,3.74986
77.6,3.75617
77.8,3.76249
78,3.76879
78.2,3.77509
78.4,3.78139
78.6,3.78769
78.8,3.79398
79,3.80026
79.2,3.80654
79.4,3.81282
79.6,3.81909
79.8,3.82536
80,3.83162
80.2,3.83788
80.4,3.84413
80.6,3.85038
80.8,3.85663
81,3.86287
81.2,3.86911
81.4,3.87535
81.6,3.88158
81.8,3.8878
82,3.89402
82.2,3.90024
82.4,3.90646
82.6,3.91267
82.8,3.91887
83,3.92507
83.2,3.93127
83.4,3.93747
83.6,3.94366
83.8,3.94984
84,3.95603
84.2,3.96221
84.4,3.96838
84.6,3.97455
84.8,3.98072
85,3.98688
85.2,3.99304
85.4,3.9992
85.6,4.00535
85.8,4.0115
86,4.01765
86.2,4.02379
86.4,4.02993
86.6,4.03606
86.8,4.04219
87,4.04832
87.2,4.05444
87.4,4.06056
87.6,4.06668
87.8,4.07279
88,4.0789
88.2,4.085
88.4,4.09111
88.6,4.09721
88.8,4.1033
89,4.10939
89.2,4.11548
89.4,4.12157
89.6,4.12765
89.8,4.13373
90,4.1398
90.2,4.14587
90.4,4.15194
90.6,4.158
90.8,4.16407
91,4.17012
91.2,4.17618
91.4,4.18223
91.6,4.18828
91.8,4.19432
92,4.20036
92.2,4.2064
92.4,4.21244
92.6,4.21847
92.8,4.2245
93,4.23052
93.2,4.23654
93.4,4.24256
93.6,4.24858
93.8,4.25459
94,4.2606
94.2,4.26661
94.4,4.27261
94.6,4.27861
94.8,4.28461
95,4.2906
95.2,4.29659
95.4,4.30258
95.6,4.30856
95.8,4.31455
96,4.32052
96.2,4.3265
96.4,4.33247
96.6,4.33844
96.8,4.34441
97,4.35037
97.2,4.35633
97.4,4.36229
97.6,4.36824
97.8,4.37419
98,4.38014
98.2,4.38609
98.4,4.39203
98.6,4.39797
98.8,4.40391
99,4.40984
99.2,4.41577
99.4,4.4217
99.6,4.42762
99.8,4.43355
100,4.43947
100.2,4.44538
100.4,4.4513
100.6,4.45721
100.8,4.46311
101,4.46902
101.2,4.47492
101.4,4.48082
101.6,4.48672
101.8,4.49261
102,4.4985
102.2,4.50439
102.4,4.51028
102.6,4.51616
102.8,4.52204
103,4.52791
103.2,4.53379
103.4,4.53966
103.6,4.54553
103.8,4.5514
104,4.55726
104.2,4.56312
104.4,4.56898
104.6,4.57483
104.8,4.58069
105,4.58653
105.2,4.59238
105.4,4.59823
105.6,4.60407
105.8,4.60991
106,4.61574
106.2,4.62158
106.4,4.62741
106.6,4.63324
106.8,4.63906
107,4.64489
107.2,4.65071
107.4,4.65652
107.6,4.66234
107.8,4.66815
108,4.67396
108.2,4.67977
108.4,4.68557
108.6,4.69138
108.8,4.69718
109,4.70297
109.2,4.70877
109.4,4.71456
109.6,4.72035
109.8,4.72614
110,4.73192
110.2,4.7377
110.4,4.74348
110.6,4.74926
110.8,4.75503
111,4.7608
111.2,4.76657
111.4,4.77234
111.6,4.7781
111.8,4.78386
112,4.78962
112.2,4.79538
112.4,4.80113
112.6,4.80688
112.8,4.81263
113,4.81838
113.2,4.82412
113.4,4.82986
113.6,4.8356
113.8,4.84134
114,4.84707
114.2,4.85281
114.4,4.85853
114.6,4.86426
114.8,4.86999
115,4.87571
115.2,4.88143
115.4,4.88714
115.6,4.89286
115.8,4.89857
116,4.90428
116.2,4.90999
116.4,4.91569
116.6,4.92139
116.8,4.92709
117,4.93279
117.2,4.93849
117.4,4.94418
117.6,4.94987
117.8,4.95556
118,4.96124
118.2,4.96693
118.4,4.97261
118.6,4.97829
118.8,4.98396
119,4.98964
119.2,4.99531
