time,velocity 
0,4
0.2,5.2384
0.4,6.02419
0.6,6.79985
0.8,7.56333
1,8.31486
1.2,9.05465
1.4,9.7829
1.6,10.4998
1.8,11.2056
2,11.9004
2.2,12.5845
2.4,13.2579
2.6,13.9211
2.8,14.574
3,15.2168
3.2,15.8498
3.4,16.4732
3.6,17.087
3.8,17.6914
4,18.2867
4.2,18.8729
4.4,19.4503
4.6,20.0189
4.8,20.579
5,21.1307
5.2,21.674
5.4,22.2093
5.6,22.7365
5.8,23.2559
6,23.7676
6.2,24.2717
6.4,24.7683
6.6,25.2576
6.8,25.7397
7,26.2148
7.2,26.6828
7.4,27.1441
7.6,27.5986
7.8,28.0465
8,28.488
8.2,28.923
8.4,29.3518
8.6,29.7745
8.8,30.1911
9,30.6017
9.2,31.0065
9.4,31.4055
9.6,31.7989
9.8,32.1868
10,32.5692
10.2,32.9462
10.4,33.3179
10.6,33.6845
10.8,34.046
11,34.4025
11.2,34.754
11.4,35.1007
11.6,35.4427
11.8,35.78
12,36.1127
12.2,36.4408
12.4,36.7646
12.6,37.084
12.8,37.399
13,37.7099
13.2,38.0166
13.4,38.3193
13.6,38.6179
13.8,38.9126
14,39.2035
14.2,39.4905
14.4,39.7738
14.6,40.0534
14.8,40.3294
15,40.6019
15.2,40.8708
15.4,41.1363
15.6,41.3984
15.8,41.6573
16,41.9128
16.2,42.1651
16.4,42.4143
16.6,42.6604
16.8,42.9034
17,43.1434
17.2,43.3805
17.4,43.6147
17.6,43.846
17.8,44.0745
18,44.3002
18.2,44.5233
18.4,44.7436
18.6,44.9614
18.8,45.1765
19,45.3891
19.2,45.5993
19.4,45.8069
19.6,46.0122
19.8,46.2151
20,46.4157
20.2,46.6139
20.4,46.8099
20.6,47.0037
20.8,47.1953
21,47.3847
21.2,47.5721
21.4,47.7573
21.6,47.9405
21.8,48.1217
22,48.3009
22.2,48.4782
22.4,48.6536
22.6,48.827
22.8,48.9986
23,49.1684
23.2,49.3364
23.4,49.5027
23.6,49.6672
23.8,49.83
24,49.9911
24.2,50.1506
24.4,50.3084
24.6,50.4646
24.8,50.6193
25,50.7724
25.2,50.924
25.4,51.074
25.6,51.2226
25.8,51.3698
26,51.5155
26.2,51.6598
26.4,51.8028
26.6,51.9443
26.8,52.0845
27,52.2234
27.2,52.361
27.4,52.4973
27.6,52.6324
27.8,52.7662
28,52.8988
28.2,53.0302
28.4,53.1604
28.6,53.2895
28.8,53.4174
29,53.5442
29.2,53.6698
29.4,53.7944
29.6,53.9179
29.8,54.0403
30,54.1617
30.2,54.282
30.4,54.4014
30.6,54.5197
30.8,54.6371
31,54.7535
31.2,54.8689
31.4,54.9834
31.6,55.097
31.8,55.2097
32,55.3214
32.2,55.4323
32.4,55.5423
32.6,55.6515
32.8,55.7598
33,55.8673
33.2,55.9739
33.4,56.0798
33.6,56.1848
33.8,56.2891
34,56.3926
34.2,56.4953
34.4,56.5973
34.6,56.6986
34.8,56.7991
35,56.8989
35.2,56.998
35.4,57.0964
35.6,57.1941
35.8,57.2911
36,57.3874
36.2,57.4831
36.4,57.5782
36.6,57.6726
36.8,57.7664
37,57.8595
37.2,57.952
37.4,58.044
37.6,58.1353
37.8,58.226
38,58.3162
38.2,58.4058
38.4,58.4948
38.6,58.5833
38.8,58.6712
39,58.7586
39.2,58.8454
39.4,58.9317
39.6,59.0175
39.8,59.1028
40,59.1876
40.2,59.2718
40.4,59.3556
40.6,59.4389
40.8,59.5217
41,59.604
41.2,59.6859
41.4,59.7673
41.6,59.8483
41.8,59.9288
42,60.0088
42.2,60.0884
42.4,60.1676
42.6,60.2463
42.8,60.3247
43,60.4026
43.2,60.4801
43.4,60.5572
43.6,60.6339
43.8,60.7102
44,60.786
44.2,60.8616
44.4,60.9367
44.6,61.0114
44.8,61.0858
45,61.1598
45.2,61.2335
45.4,61.3068
45.6,61.3797
45.8,61.4523
46,61.5245
46.2,61.5964
46.4,61.6679
46.6,61.7391
46.8,61.81
47,61.8805
47.2,61.9508
47.4,62.0207
47.6,62.0902
47.8,62.1595
48,62.2285
48.2,62.2971
48.4,62.3655
48.6,62.4335
48.8,62.5013
49,62.5687
49.2,62.6359
49.4,62.7028
49.6,62.7694
49.8,62.8357
50,62.9017
50.2,62.9675
50.4,63.033
50.6,63.0982
50.8,63.1632
51,63.2279
51.2,63.2923
51.4,63.3565
51.6,63.4204
51.8,63.484
52,63.5474
52.2,63.6106
52.4,63.6735
52.6,63.7362
52.8,63.7986
53,63.8608
53.2,63.9227
53.4,63.9845
53.6,64.0459
53.8,64.1072
54,64.1682
54.2,64.229
54.4,64.2896
54.6,64.3499
54.8,64.4101
55,64.47
55.2,64.5297
55.4,64.5892
55.6,64.6484
55.8,64.7075
56,64.7664
56.2,64.825
56.4,64.8834
56.6,64.9417
56.8,64.9997
57,65.0576
57.2,65.1152
57.4,65.1726
57.6,65.2299
57.8,65.2869
58,65.3438
58.2,65.4005
58.4,65.457
58.6,65.5133
58.8,65.5694
59,65.6253
59.2,65.681
59.4,65.7366
59.6,65.792
59.8,65.8472
60,65.9022
60.2,65.9571
60.4,66.0118
60.6,66.0663
60.8,66.1206
61,66.1748
61.2,66.2288
61.4,66.2826
61.6,66.3362
61.8,66.3897
62,66.4431
62.2,66.4962
62.4,66.5492
62.6,66.6021
62.8,66.6548
63,66.7073
63.2,66.7596
63.4,66.8118
63.6,66.8639
63.8,66.9158
64,66.9675
64.2,67.0191
64.4,67.0706
64.6,67.1219
64.8,67.173
65,67.224
65.2,67.2748
65.4,67.3255
65.6,67.3761
65.8,67.4265
66,67.4767
66.2,67.5268
66.4,67.5768
66.6,67.6266
66.8,67.6763
67,67.7259
67.2,67.7753
67.4,67.8245
67.6,67.8737
67.8,67.9227
68,67.9715
68.2,68.0203
68.4,68.0689
68.6,68.1173
68.8,68.1656
69,68.2138
69.2,68.2619
69.4,68.3098
69.6,68.3576
69.8,68.4053
70,68.4528
70.2,68.5002
70.4,68.5475
70.6,68.5947
70.8,68.6417
71,68.6886
71.2,68.7354
71.4,68.782
71.6,68.8286
71.8,68.875
72,68.9213
72.2,68.9674
72.4,69.0135
72.6,69.0594
72.8,69.1052
73,69.1509
73.2,69.1964
73.4,69.2419
73.6,69.2872
73.8,69.3324
74,69.3775
74.2,69.4225
74.4,69.4673
74.6,69.5121
74.8,69.5567
75,69.6012
75.2,69.6456
75.4,69.6899
75.6,69.7341
75.8,69.7782
76,69.8221
76.2,69.8659
76.4,69.9097
76.6,69.9533
76.8,69.9968
77,70.0402
77.2,70.0835
77.4,70.1267
77.6,70.1697
77.8,70.2127
78,70.2556
78.2,70.2983
78.4,70.341
78.6,70.3835
78.8,70.4259
79,70.4683
79.2,70.5105
79.4,70.5526
79.6,70.5946
79.8,70.6365
80,70.6783
80.2,70.7201
80.4,70.7617
80.6,70.8032
80.8,70.8446
81,70.8859
81.2,70.9271
81.4,70.9681
81.6,71.0091
81.8,71.05
82,71.0908
82.2,71.1315
82.4,71.1721
82.6,71.2126
82.8,71.253
83,71.2933
83.2,71.3336
83.4,71.3737
83.6,71.4137
83.8,71.4536
84,71.4934
84.2,71.5331
84.4,71.5728
84.6,71.6123
84.8,71.6518
85,71.6911
85.2,71.7304
85.4,71.7695
85.6,71.8086
85.8,71.8476
86,71.8864
86.2,71.9252
86.4,71.9639
86.6,72.0025
86.8,72.041
87,72.0794
87.2,72.1178
87.4,72.156
87.6,72.1942
87.8,72.2322
88,72.2702
88.2,72.3081
88.4,72.3458
88.6,72.3835
88.8,72.4212
89,72.4587
89.2,72.4961
89.4,72.5335
89.6,72.5707
89.8,72.6079
90,72.645
90.2,72.682
90.4,72.7189
90.6,72.7557
90.8,72.7924
91,72.8291
91.2,72.8656
91.4,72.9021
91.6,72.9385
91.8,72.9748
92,73.011
92.2,73.0472
92.4,73.0832
92.6,73.1192
92.8,73.1551
93,73.1909
93.2,73.2266
93.4,73.2623
93.6,73.2978
93.8,73.3333
94,73.3687
94.2,73.404
94.4,73.4392
94.6,73.4743
94.8,73.5094
95,73.5444
95.2,73.5793
95.4,73.6141
95.6,73.6488
95.8,73.6835
96,73.7181
96.2,73.7526
96.4,73.787
96.6,73.8213
96.8,73.8556
97,73.8898
97.2,73.9239
97.4,73.9579
97.6,73.9919
97.8,74.0257
98,74.0595
98.2,74.0932
98.4,74.1269
98.6,74.1604
98.8,74.1939
99,74.2273
99.2,74.2606
99.4,74.2939
99.6,74.327
99.8,74.3601
100,74.3932
100.2,74.4261
100.4,74.459
100.6,74.4918
100.8,74.5245
101,74.5571
101.2,74.5897
101.4,74.6222
101.6,74.6546
101.8,74.687
102,74.7192
102.2,74.7514
102.4,74.7835
102.6,74.8156
102.8,74.8476
103,74.8795
103.2,74.9113
103.4,74.9431
103.6,74.9748
103.8,75.0064
104,75.0379
104.2,75.0694
104.4,75.1008
104.6,75.1321
104.8,75.1634
105,75.1945
105.2,75.2257
105.4,75.2567
105.6,75.2877
105.8,75.3186
106,75.3494
106.2,75.3802
106.4,75.4108
106.6,75.4415
106.8,75.472
107,75.5025
107.2,75.5329
107.4,75.5632
107.6,75.5935
107.8,75.6237
108,75.6539
108.2,75.6839
108.4,75.7139
108.6,75.7439
108.8,75.7737
109,75.8035
109.2,75.8332
109.4,75.8629
109.6,75.8925
109.8,75.922
110,75.9515
110.2,75.9809
110.4,76.0102
110.6,76.0394
110.8,76.0686
111,76.0978
111.2,76.1268
111.4,76.1558
111.6,76.1847
111.8,76.2136
112,76.2424
112.2,76.2711
112.4,76.2998
112.6,76.3284
112.8,76.3569
113,76.3854
113.2,76.4138
113.4,76.4422
113.6,76.4704
113.8,76.4986
114,76.5268
114.2,76.5549
114.4,76.5829
114.6,76.6109
114.8,76.6388
115,76.6666
115.2,76.6944
115.4,76.7221
115.6,76.7497
115.8,76.7773
116,76.8048
116.2,76.8323
116.4,76.8597
116.6,76.887
116.8,76.9143
117,76.9415
117.2,76.9686
117.4,76.9957
117.6,77.0227
117.8,77.0497
118,77.0766
118.2,77.1034
118.4,77.1302
118.6,77.1569
118.8,77.1836
119,77.2102
119.2,77.2367
119.4,77.2632
119.6,77.2897
119.8,77.316
120,77.3423
120.2,77.3686
120.4,77.3947
120.6,77.4209
120.8,77.4469
121,77.4729
121.2,77.4989
121.4,77.5248
121.6,77.5506
121.8,77.5764
122,77.6021
122.2,77.6277
122.4,77.6533
122.6,77.6789
122.8,77.7044
123,77.7298
123.2,77.7551
123.4,77.7805
123.6,77.8057
123.8,77.8309
124,77.856
124.2,77.8811
124.4,77.9061
124.6,77.9311
124.8,77.956
125,77.9809
125.2,78.0057
125.4,78.0304
125.6,78.0551
125.8,78.0798
126,78.1043
126.2,78.1289
126.4,78.1533
126.6,78.1777
126.8,78.2021
127,78.2264
127.2,78.2506
127.4,78.2748
127.6,78.299
127.8,78.323
128,78.3471
128.2,78.371
128.4,78.395
128.6,78.4188
128.8,78.4426
129,78.4664
129.2,78.4901
129.4,78.5138
129.6,78.5374
129.8,78.5609
130,78.5844
130.2,78.6078
130.4,78.6312
130.6,78.6546
130.8,78.6778
131,78.7011
131.2,78.7242
131.4,78.7474
131.6,78.7704
131.8,78.7935
132,78.8164
132.2,78.8393
132.4,78.8622
132.6,78.885
132.8,78.9078
133,78.9305
133.2,78.9532
133.4,78.9758
133.6,78.9983
133.8,79.0208
134,79.0433
134.2,79.0657
134.4,79.088
134.6,79.1103
134.8,79.1326
135,79.1548
135.2,79.177
135.4,79.1991
135.6,79.2211
135.8,79.2431
136,79.2651
136.2,79.287
136.4,79.3088
136.6,79.3306
136.8,79.3524
137,79.3741
137.2,79.3958
137.4,79.4174
137.6,79.4389
137.8,79.4605
138,79.4819
138.2,79.5033
138.4,79.5247
138.6,79.546
138.8,79.5673
139,79.5885
139.2,79.6097
139.4,79.6308
139.6,79.6519
139.8,79.6729
140,79.6939
140.2,79.7149
140.4,79.7358
140.6,79.7566
140.8,79.7774
141,79.7982
141.2,79.8189
141.4,79.8395
141.6,79.8601
141.8,79.8807
142,79.9012
142.2,79.9217
142.4,79.9421
142.6,79.9625
142.8,79.9828
143,80.0031
143.2,80.0234
143.4,80.0436
143.6,80.0637
143.8,80.0838
144,80.1039
144.2,80.1239
144.4,80.1439
144.6,80.1638
144.8,80.1837
145,80.2035
145.2,80.2233
145.4,80.2431
145.6,80.2628
145.8,80.2824
146,80.302
146.2,80.3216
146.4,80.3411
146.6,80.3606
146.8,80.3801
147,80.3995
147.2,80.4188
147.4,80.4381
147.6,80.4574
147.8,80.4766
148,80.4958
148.2,80.5149
148.4,80.534
148.6,80.5531
148.8,80.5721
149,80.591
149.2,80.6099
149.4,80.6288
149.6,80.6477
149.8,80.6664
150,80.6852
150.2,80.7039
150.4,80.7226
150.6,80.7412
150.8,80.7598
151,80.7783
151.2,80.7968
151.4,80.8153
151.6,80.8337
151.8,80.8521
152,80.8704
152.2,80.8887
152.4,80.9069
152.6,80.9251
152.8,80.9433
153,80.9614
153.2,80.9795
153.4,80.9976
153.6,81.0156
153.8,81.0335
154,81.0515
154.2,81.0693
154.4,81.0872
154.6,81.105
154.8,81.1228
155,81.1405
155.2,81.1582
155.4,81.1758
155.6,81.1934
155.8,81.211
156,81.2285
156.2,81.246
156.4,81.2634
156.6,81.2808
156.8,81.2982
157,81.3155
157.2,81.3328
157.4,81.3501
157.6,81.3673
157.8,81.3845
158,81.4016
158.2,81.4187
158.4,81.4357
158.6,81.4528
158.8,81.4697
159,81.4867
159.2,81.5036
159.4,81.5205
159.6,81.5373
159.8,81.5541
160,81.5708
160.2,81.5875
160.4,81.6042
160.6,81.6209
160.8,81.6375
